53,54,36,47
53,54,53,25
53,54,44,44
53,54,32,66
53,54,21,86
53,54,26,79
53,54,39,58
53,54,59,38
53,54,68,28
53,54,52,43
53,54,68,25
53,54,83,10
54,55,48,35
54,55,55,29
54,55,45,42
54,55,53,33
54,55,36,53
54,55,58,46
54,55,44,56
54,55,30,71
54,55,40,57
54,55,56,47
54,55,68,31
54,55,75,11
55,56,32,70
55,56,17,87
55,56,7,98
54,55,39,39
54,55,24,57
54,55,38,39
54,55,53,25
54,55,30,45
54,55,41,20
54,55,51,1
55,56,40,71
55,56,56,61
55,56,67,37
55,56,57,51
55,56,32,69
55,56,55,58
55,56,68,48
55,56,48,62
55,56,38,78
55,56,30,89
55,56,37,84
55,56,57,59
55,56,33,69
55,56,23,82
55,56,32,73
55,56,50,63
55,56,73,48
55,56,82,24
55,56,66,46
55,56,41,67
55,56,18,81
55,56,34,68
55,56,18,87
55,56,40,67
55,56,53,44
55,56,63,30
55,56,83,11
56,57,53,64
56,57,62,58
56,57,54,77
56,57,78,57
56,57,100,33
56,57,120,21
56,57,145,9
57,58,51,41
57,58,31,47
57,58,23,64
57,58,35,57
57,58,24,82
57,58,9,100
56,57,30,59
56,57,35,53
56,57,11,78
55,56,48,45
55,56,59,20
55,56,83,8
56,57,44,68
56,57,33,82
56,57,39,61
56,57,34,81
56,57,56,61
56,57,66,41
56,57,77,32
56,57,95,7
57,58,48,41
57,58,69,32
57,58,74,13
58,59,45,38
58,59,54,23
58,59,79,3
59,60,60,70
59,60,46,91
59,60,69,73
59,60,59,79
59,60,52,87
59,60,58,69
59,60,70,56
59,60,49,71
59,60,35,95
59,60,16,109
59,60,30,102
59,60,22,122
59,60,13,144
58,59,25,69
58,59,15,91
57,58,68,45
57,58,90,21
57,58,105,7
58,59,34,68
58,59,25,80
58,59,44,64
58,59,30,76
58,59,22,81
58,59,32,73
58,59,45,57
58,59,35,73
58,59,16,93
58,59,38,69
58,59,58,59
58,59,71,40
58,59,87,16
58,59,96,14
59,60,62,41
59,60,69,23
59,60,50,38
59,60,43,50
59,60,67,40
59,60,80,24
59,60,56,33
59,60,68,26
59,60,62,48
59,60,47,66
59,60,66,55
59,60,76,44
59,60,63,64
59,60,69,55
59,60,58,68
59,60,46,74
59,60,33,92
59,60,54,67
59,60,79,59
59,60,70,83
59,60,79,73
59,60,71,89
59,60,47,101
59,60,42,115
59,60,56,101
59,60,68,78
59,60,51,85
59,60,27,102
59,60,38,85
59,60,54,65
59,60,65,47
59,60,40,59
59,60,55,35
59,60,48,51
59,60,72,36
59,60,58,47
59,60,64,38
59,60,59,54
59,60,82,34
59,60,77,59
59,60,66,75
59,60,78,59
59,60,85,43
59,60,75,48
59,60,91,27
59,60,69,39
59,60,44,49
59,60,52,25
59,60,67,3
60,61,43,67
60,61,29,89
60,61,21,107
60,61,9,116
59,60,62,30
59,60,42,40
59,60,31,47
59,60,13,67
58,59,27,33
58,59,17,58
58,59,40,34
58,59,16,46
58,59,10,59
57,58,60,43
57,58,75,34
57,58,89,23
57,58,83,44
57,58,104,31
57,58,121,23
57,58,112,46
57,58,89,58
57,58,113,52
57,58,138,36
57,58,121,47
57,58,98,55
42,43,114,42
42,43,104,61
42,43,114,56
42,43,90,64
42,43,83,73
42,43,60,90
42,43,35,100
42,43,53,77
42,43,47,87
42,43,34,111
42,43,55,89
42,43,34,96
42,43,28,118
42,43,11,131
41,42,26,61
41,42,49,44
41,42,62,19
41,42,82,2
42,43,62,69
42,43,83,44
42,43,95,22
42,43,112,17
42,43,118,1
43,44,73,66
43,44,88,52
43,44,70,68
43,44,58,83
43,44,72,66
43,44,57,74
43,44,78,49
43,44,84,29
43,44,106,4
44,45,66,45
44,45,91,27
44,45,67,41
44,45,42,64
44,45,33,69
44,45,26,80
44,45,8,100
43,44,68,52
43,44,62,65
43,44,70,50
43,44,65,73
43,44,47,95
43,44,35,107
43,44,28,120
43,44,10,144
42,43,28,57
42,43,45,49
42,43,24,72
42,43,18,92
42,43,1,108
41,42,62,69
41,42,74,64
41,42,54,86
41,42,38,108
41,42,31,125
41,42,20,132
41,42,9,146
40,41,43,48
40,41,58,42
40,41,43,54
40,41,67,36
40,41,88,19
40,41,105,3
41,42,33,28
41,42,47,18
41,42,61,4
42,43,58,60
42,43,53,74
42,43,72,49
42,43,90,29
42,43,95,4
43,44,49,56
43,44,68,48
43,44,56,58
43,44,42,80
43,44,17,102
43,44,34,77
43,44,41,58
43,44,64,46
43,44,54,65
43,44,73,58
43,44,88,37
43,44,103,23
43,44,81,38
43,44,103,16
43,44,118,4
44,45,36,47
44,45,43,34
44,45,61,9
45,46,43,70
45,46,63,60
45,46,81,51
45,46,68,63
45,46,77,43
45,46,71,58
45,46,91,39
45,46,67,58
45,46,87,47
